pretaxIncome,hoursWorked,hourlyRate,monthsVacation,yearly income (€),monthly income (€),living advantage ($),insuranceCostPerMonth
63360,1056,60,6,41956.25,3496,-3004.8,363
68640,1056,65,6,44896.26,3741,-2710.8,363
73920,1056,70,6,47836.28,3986,-2416.8,363
79200,1056,75,6,50777.34,4231,-2122.8,363
84480,1056,80,6,53717.35,4476,-1828.8000000000002,363
89760,1056,85,6,56658.41,4721,-1534.8000000000002,363
95040,1056,90,6,59598.42,4966,-1240.8000000000002,363
100320,1056,95,6,62538.42999999999,5211,-946.8000000000002,363
105600,1056,100,6,65479.5,5456,-652.8000000000002,363
73920,1232,60,5,47836.28,3986,-2416.8,363
80080,1232,65,5,51266.99,4272,-2073.6,363
86240,1232,70,5,54697.7,4558,-1730.4,363
92400,1232,75,5,58128.42,4844,-1387.2000000000003,363
98560,1232,80,5,61559.130000000005,5129,-1045.2000000000003,363
104720,1232,85,5,64988.78999999999,5415,-702,363
110880,1232,90,5,68419.51,5701,-358.8000000000002,363
117040,1232,95,5,71850.22,5987,-15.600000000000364,363
123200,1232,100,5,75280.94,6273,327.59999999999945,363
84480,1408,60,4,53717.35,4476,-1828.8000000000002,363
91520,1408,65,4,57637.71,4803,-1436.4,363
98560,1408,70,4,61559.130000000005,5129,-1045.2000000000003,363
105600,1408,75,4,65479.5,5456,-652.8000000000002,363
112640,1408,80,4,69399.86,5783,-260.4000000000001,363
119680,1408,85,4,73320.23,6110,132,363
126720,1408,90,4,77240.59,6436,523.1999999999998,363
133760,1408,95,4,81162.01,6763,915.5999999999995,363
140800,1408,100,4,85082.38,7090,1308,363
95040,1584,60,3,59598.42,4966,-1240.8000000000002,363
102960,1584,65,3,64009.490000000005,5334,-799.2000000000003,363
110880,1584,70,3,68419.51,5701,-358.8000000000002,363
118800,1584,75,3,72830.58,6069,82.80000000000018,363
126720,1584,80,3,77240.59,6436,523.1999999999998,363
134640,1584,85,3,81651.66,6804,964.8000000000002,363
142560,1584,90,3,86062.73,7171,1405.1999999999998,363
150480,1584,95,3,90472.75,7539,1846.8000000000002,363
158400,1584,100,3,94883.82,7906,2287.2,363
105600,1760,60,2,65479.5,5456,-652.8000000000002,363
114400,1760,65,2,70380.22,5865,-162,363
123200,1760,70,2,75280.94,6273,327.59999999999945,363
132000,1760,75,2,80181.66,6681,817.1999999999998,363
140800,1760,80,2,85082.38,7090,1308,363
149600,1760,85,2,89983.1,7498,1797.5999999999995,363
158400,1760,90,2,94883.82,7906,2287.2,363
167200,1760,95,2,99784.54,8315,2778,363
176000,1760,100,2,104685.26,8723,3267.5999999999995,363
